Key,english
zombieUtilityWorkerBigger,Bigger Rioter
zombieSoldierBigger,Bigger Rioter
zombieSkateboarderBigger,Bigger Rioter
zombieJanitorBigger,Bigger Rioter
zombieBikerBigger,Bigger Rioter
zombiePartyGirlBigger,Bigger Rioter
zombieLumberjackBigger,Bigger Rioter
zombieDoctorFemaleBigger,Bigger Rioter
zombieDoctorMaleBigger,Bigger Rioter
zombieLabMaleBigger,Bigger Rioter
zombieFootballPlayerBigger,Bigger Rioter
zombieBehemoth1Bigger,Bigger Behemoth
zombieBehemoth2Bigger,Bigger Behemoth
zombieBehemoth3Bigger,Bigger Behemoth
zombieBehemoth4Bigger,Bigger Behemoth

zombieBusinessWomanBiggerEmpowered,Empowered Bigger Businesswoman
zombieCheerleaderBiggerEmpowered,Empowered Bigger Stripper
zombieOldTimerBiggerEmpowered,Empowered Bigger Stripper
zombieWightBiggerEmpowered,Empowered Bigger Wight
zombieDemolitionBiggerEmpowered,Empowered Bigger Demolition Zombie
zombieBoeBiggerEmpowered,Empowered Bigger Infected Survivor
zombieFemaleFatBiggerEmpowered,Empowered Bigger Hungry Zombie
zombieJoeBiggerEmpowered,Empowered Bigger Cadaver
zombieMoeBiggerEmpowered,Empowered Bigger Bloated Walker
zombieArleneBiggerEmpowered,Empowered Bigger Putrid Girl
zombieLabBiggerEmpowered,Empowered Bigger Lab Technician
zombieDarleneBiggerEmpowered,Empowered Bigger Mother
zombieMarleneBiggerEmpowered,Empowered Bigger Departed Woman
zombieYoBiggerEmpowered,Empowered Bigger Rotting Carcass
zombieSteveBiggerEmpowered,Empowered Bigger Reanimated Corpse
zombieBusinessManBiggerEmpowered,Empowered Bigger Businessman
zombieSpiderBiggerEmpowered,Empowered Bigger Spider
zombieNurseBiggerEmpowered,Empowered Bigger Plagued Nurse
zombieFatHawaiianBiggerEmpowered,Empowered Bigger Disturbed Tourist
zombieFatCopBiggerEmpowered,Empowered Bigger Policeman
zombieMaleHazmatBiggerEmpowered,Empowered Bigger Hazardous Worker
zombieUtilityWorkerBiggerEmpowered,Empowered Bigger Utility Worker
zombieSoldierBiggerEmpowered,Empowered Bigger Soldier
zombieSkateboarderBiggerEmpowered,Empowered Bigger Thug
zombieJanitorBiggerEmpowered,Empowered Bigger Janitor
zombieBikerBiggerEmpowered,Empowered Bigger Biker
zombiePartyGirlBiggerEmpowered,Empowered Bigger Party Girl
zombieLumberjackBiggerEmpowered,Empowered Bigger Lumberjack
zombieDoctorFemaleBiggerEmpowered,Empowered Bigger Doctor
zombieDoctorMaleBiggerEmpowered,Empowered Bigger Doctor
zombieLabMaleBiggerEmpowered,Empowered Bigger Lab Zombie
zombieFootballPlayerBiggerEmpowered,Empowered Bigger Football Player
zombieBehemoth1BiggerEmpowered,Empowered Bigger Behemoth
zombieBehemoth2BiggerEmpowered,Empowered Bigger Behemoth
zombieBehemoth3BiggerEmpowered,Empowered Bigger Behemoth
zombieBehemoth4BiggerEmpowered,Empowered Bigger Behemoth

zombieBusinessWomanBiggest,Biggest Businesswoman
zombieCheerleaderBiggest,Biggest Stripper
zombieOldTimerBiggest,Biggest Stripper
zombieWightBiggest,Biggest Wight
zombieDemolitionBiggest,Biggest Demolition Zombie
zombieBoeBiggest,Biggest Infected Survivor
zombieFemaleFatBiggest,Biggest Hungry Zombie
zombieJoeBiggest,Biggest Cadaver
zombieMoeBiggest,Biggest Bloated Walker
zombieArleneBiggest,Biggest Putrid Girl
zombieLabBiggest,Biggest Lab Technician
zombieDarleneBiggest,Biggest Mother
zombieMarleneBiggest,Biggest Departed Woman
zombieYoBiggest,Biggest Rotting Carcass
zombieSteveBiggest,Biggest Reanimated Corpse
zombieBusinessManBiggest,Biggest Businessman
zombieSpiderBiggest,Biggest Spider
zombieNurseBiggest,Biggest Plagued Nurse
zombieFatHawaiianBiggest,Biggest Disturbed Tourist
zombieFatCopBiggest,Biggest Policeman
zombieMaleHazmatBiggest,Biggest Hazardous Worker
zombieUtilityWorkerBiggest,Biggest Utility Worker
zombieSoldierBiggest,Biggest Soldier
zombieSkateboarderBiggest,Biggest Thug
zombieJanitorBiggest,Biggest Janitor
zombieBikerBiggest,Biggest Biker
zombiePartyGirlBiggest,Biggest Party Girl
zombieLumberjackBiggest,Biggest Lumberjack
zombieDoctorFemaleBiggest,Biggest Doctor
zombieDoctorMaleBiggest,Biggest Doctor
zombieLabMaleBiggest,Biggest Lab Zombie
zombieFootballPlayerBiggest,Biggest Football Player
zombieBehemoth1Biggest,Biggest Behemoth
zombieBehemoth2Biggest,Biggest Behemoth
zombieBehemoth3Biggest,Biggest Behemoth
zombieBehemoth4Biggest,Biggest Behemoth

zombieBusinessWomanBiggestEmpowered,Empowered Biggest Businesswoman
zombieCheerleaderBiggestEmpowered,Empowered Biggest Stripper
zombieOldTimerBiggestEmpowered,Empowered Biggest Stripper
zombieWightBiggestEmpowered,Empowered Biggest Wight
zombieDemolitionBiggestEmpowered,Empowered Biggest Demolition Zombie
zombieBoeBiggestEmpowered,Empowered Biggest Infected Survivor
zombieFemaleFatBiggestEmpowered,Empowered Biggest Hungry Zombie
zombieJoeBiggestEmpowered,Empowered Biggest Cadaver
zombieMoeBiggestEmpowered,Empowered Biggest Bloated Walker
zombieArleneBiggestEmpowered,Empowered Biggest Putrid Girl
zombieLabBiggestEmpowered,Empowered Biggest Lab Technician
zombieDarleneBiggestEmpowered,Empowered Biggest Mother
zombieMarleneBiggestEmpowered,Empowered Biggest Departed Woman
zombieYoBiggestEmpowered,Empowered Biggest Rotting Carcass
zombieSteveBiggestEmpowered,Empowered Biggest Reanimated Corpse
zombieBusinessManBiggestEmpowered,Empowered Biggest Businessman
zombieSpiderBiggestEmpowered,Empowered Biggest Spider
zombieNurseBiggestEmpowered,Empowered Biggest Plagued Nurse
zombieFatHawaiianBiggestEmpowered,Empowered Biggest Disturbed Tourist
zombieFatCopBiggestEmpowered,Empowered Biggest Policeman
zombieMaleHazmatBiggestEmpowered,Empowered Biggest Hazardous Worker
zombieUtilityWorkerBiggestEmpowered,Empowered Biggest Utility Worker
zombieSoldierBiggestEmpowered,Empowered Biggest Soldier
zombieSkateboarderBiggestEmpowered,Empowered Biggest Thug
zombieJanitorBiggestEmpowered,Empowered Biggest Janitor
zombieBikerBiggestEmpowered,Empowered Biggest Biker
zombiePartyGirlBiggestEmpowered,Empowered Biggest Party Girl
zombieLumberjackBiggestEmpowered,Empowered Biggest Lumberjack
zombieDoctorFemaleBiggestEmpowered,Empowered Biggest Doctor
zombieDoctorMaleBiggestEmpowered,Empowered Biggest Doctor
zombieLabMaleBiggestEmpowered,Empowered Biggest Lab Zombie
zombieFootballPlayerBiggestEmpowered,Empowered Biggest Football Player
zombieBehemoth1BiggestEmpowered,Empowered Biggest Behemoth
zombieBehemoth2BiggestEmpowered,Empowered Biggest Behemoth
zombieBehemoth3BiggestEmpowered,Empowered Biggest Behemoth
zombieBehemoth4BiggestEmpowered,Empowered Biggest Behemoth



perkMobileGunnerName,Mobile Gunner
perkMobileGunnerDesc,Sometimes you just need more Dakka. This perk line is dedicated to increasing the accuracy and magazine size of automatic weapons.
perkMobileGunnerRank1Desc,Amateur
perkMobileGunnerRank2Desc,Militia
perkMobileGunnerRank3Desc,Soldier
perkMobileGunnerRank4Desc,Ranger
perkMobileGunnerRank5Desc,Spec Ops
perkMobileGunnerRank1LongDesc,Increases magazine size of auto weapons by 5%\nDecreases the kick and spread of auto weapons by 5% for greater accuracy.
perkMobileGunnerRank2LongDesc,Increases magazine size of auto weapons by 10%\nDecreases the kick and spread of auto weapons by 10% for greater accuracy.
perkMobileGunnerRank3LongDesc,Increases magazine size of auto weapons by 15%\nDecreases the kick and spread of auto weapons by 15% for greater accuracy.
perkMobileGunnerRank4LongDesc,Increases magazine size of auto weapons by 20%\nDecreases the kick and spread of auto weapons by 20% for greater accuracy.
perkMobileGunnerRank5LongDesc,Increases magazine size of auto weapons by 25%\nDecreases the kick and spread of auto weapons by 25% for greater accuracy.
perkArmorSpecialistName,Martial Training
perkArmorSpecialistDesc,Specialize in all armor to decrease mobility and stamina penalties and learn how to roll with the punches.
perkArmorSpecialistRank1Desc,Door Security
perkArmorSpecialistRank2Desc,Militia
perkArmorSpecialistRank3Desc,Cop
perkArmorSpecialistRank4Desc,Army Reserves
perkArmorSpecialistRank5Desc,Soldier
perkArmorSpecialistRank1LongDesc,"Decrease mobility penalty of worn armor by 1% per worn piece.\nDecrease stamina regen penalty of worn armor by 1.2% per worn piece while walking.\nDecrease stamina regen penalty of worn armor by 2.5% per worn piece while running.\nReduce HP loss by 5%. 20% reduced chance to get stunned, become fatigued, suffer sprained or broken arms, or suffer concussion."
perkArmorSpecialistRank2LongDesc,"Decrease mobility penalty of worn armor by 1% per worn piece.\nDecrease stamina regen penalty of worn armor by 1.4% per worn piece while walking.\nDecrease stamina regen penalty of worn armor by 3% per worn piece while running.\nReduce HP loss by 10%. 40% reduced chance to get stunned, become fatigued, suffer sprained or broken arms, or suffer concussion."
perkArmorSpecialistRank3LongDesc,"Decrease mobility penalty of worn armor by 2% per worn piece.\nDecrease stamina regen penalty of worn armor by 1.6% per worn piece while walking.\nDecrease stamina regen penalty of worn armor by 3.5% per worn piece while running.\nReduce HP loss by 15%. 60% reduced chance to get stunned, become fatigued, suffer sprained or broken arms, or suffer concussion."
perkArmorSpecialistRank4LongDesc,"Decrease mobility penalty of worn armor by 2% per worn piece.\nDecrease stamina regen penalty of worn armor by 1.8% per worn piece while walking.\nDecrease stamina regen penalty of worn armor by 4% per worn piece while running.\nReduce HP loss by 20%. 80% reduced chance to get stunned, become fatigued, suffer sprained or broken arms, or suffer concussion."
perkArmorSpecialistRank5LongDesc,Decrease mobility penalty of worn armor by 3% per worn piece.\nDecrease stamina regen penalty of worn armor by 2% per worn piece while walking.\nDecrease stamina regen penalty of worn armor by 4.5% per worn piece while running.\nReduce HP loss by 25%. Iron Chin: No chance to get stunned, become fatigued, suffer sprained or broken arms, or suffer concussion."
perkBreakingAndEnteringName,Breaking And Entering
perkBreakingAndEnteringDesc,...but mostly breaking. Get better at smashing doors or walls with a blunt weapon.
perkBreakingAndEnteringRank1Desc,"Increase block damage of blunt weapons by 40%.\nIncreases crowbar damage vs doors, safes, treasure chests and wood by 100%\nSledgehammers ignore 5% of armor on the target."
perkBreakingAndEnteringRank2Desc,"Increase block damage of blunt weapons by 80%\nIncreases crowbar damage vs doors, safes, treasure chests and wood by 200%\nSledgehammers ignore 10% of armor on the target."
perkBreakingAndEnteringRank3Desc,"Increase block damage of blunt weapons by 120%\nIncreases crowbar damage vs doors, safes, treasure chests and wood by 300%\nSledgehammers ignore 15% of armor on the target.\nAttacks with sledgehammers grant 2 points of stamina."
perkBreakingAndEnteringRank4Desc,"Increase block damage of blunt weapons by 160%\nIncreases crowbar damage vs doors, safes, treasure chests and wood by 400%\nSledgehammers ignore 20% of armor on the target."
perkBreakingAndEnteringRank5Desc,"Increase block damage of blunt weapons by 200%. Decreases protection of land claims by 20%\nIncreases crowbar damage vs doors, safes, treasure chests and wood by 500%\nSledgehammers ignore 25% of armor on the target.\nPower attacks with sledgehammers have a 50% chance to knockdown targets."
EntityLootContainerBehemothRegular,Dropped Loot
EntityLootContainerBehemothRadiated,Dropped Loot
EntityLootContainerBehemothDemon,Dropped Loot
EntityLootContainerIncubus,Dropped Loot
EntityLootContainerIncubusEmpowered,Dropped Loot
EntityLootContainerSuccubus,Dropped Loot
EntityLootContainerSuccubusEmpowered,Dropped Loot
